skin_r,skin_g,skin_b,hair_r,hair_g,hair_b,eye_r,eye_g,eye_b,skin_hex,hair_hex,eye_hex,fitzpatrick,undertone,depth,season
244,220,213,0,0,0,104,103,120,#f4dcd5,,#686778,I,neutral,very_light,Light Summer
208,183,163,0,0,0,91,75,65,#d0b7a3,,#5b4b41,I,warm,very_light,Light Spring
235,205,182,0,0,0,129,117,109,#ebcdb6,,#81756d,I,warm,very_light,Warm Spring
196,154,135,0,0,0,100,62,51,#c49a87,,#643e33,II,warm,light,Warm Spring
241,203,199,0,0,0,109,91,97,#f1cbc7,,#6d5b61,I,neutral,very_light,Light Summer
215,166,151,0,0,0,91,72,74,#d7a697,,#5b484a,I,neutral,light,Light Summer
188,136,124,0,0,0,95,85,89,#bc887c,,#5f5559,III,neutral,light_medium,Light Summer
195,177,157,0,0,0,112,94,71,#c3b19d,,#705e47,I,warm,light,Light Spring
224,189,171,0,0,0,116,93,88,#e0bdab,,#745d58,I,warm,very_light,Warm Spring
232,217,212,0,0,0,103,91,91,#e8d9d4,,#675b5b,I,neutral,very_light,Light Spring
233,200,184,0,0,0,123,110,105,#e9c8b8,,#7b6e69,I,neutral,very_light,Light Spring
223,191,173,0,0,0,128,105,102,#dfbfad,,#806966,I,warm,very_light,Light Spring
207,181,170,0,0,0,118,102,102,#cfb5aa,,#766666,I,neutral,very_light,Light Spring
231,197,178,0,0,0,91,72,65,#e7c5b2,,#5b4841,I,warm,very_light,Warm Spring
228,200,185,0,0,0,105,91,89,#e4c8b9,,#695b59,I,neutral,very_light,Light Spring
228,190,177,0,0,0,116,87,101,#e4beb1,,#745765,I,neutral,very_light,Light Spring
224,183,164,0,0,0,103,78,68,#e0b7a4,,#674e44,I,warm,very_light,Warm Spring
242,196,172,0,0,0,94,69,68,#f2c4ac,,#5e4544,I,warm,very_light,Clear Spring
233,217,211,0,0,0,101,90,94,#e9d9d3,,#655a5e,I,neutral,very_light,Light Spring
244,214,204,0,0,0,121,123,128,#f4d6cc,,#797b80,I,neutral,very_light,Light Summer
204,159,119,0,0,0,78,59,42,#cc9f77,,#4e3b2a,III,warm,light,Warm Autumn
223,187,213,0,0,0,72,82,136,#dfbbd5,,#485288,I,cool,very_light,Cool Summer
226,192,179,221,228,233,96,77,89,#e2c0b3,#dde4e9,#604d59,I,neutral,very_light,Light Spring
230,197,175,0,0,0,123,100,90,#e6c5af,,#7b645a,I,warm,very_light,Warm Spring
203,163,141,0,0,0,106,89,87,#cba38d,,#6a5957,II,warm,light,Warm Spring
248,237,234,0,0,0,113,112,118,#f8edea,,#717076,I,neutral,very_light,Light Summer
219,173,148,0,0,0,80,67,64,#dbad94,,#504340,II,warm,light,Clear Spring
206,181,170,0,0,0,108,99,97,#ceb5aa,,#6c6361,I,neutral,very_light,Light Spring
217,166,131,0,0,0,86,62,43,#d9a683,,#563e2b,III,warm,light,Clear Spring
237,172,142,0,0,0,96,78,73,#edac8e,,#604e49,II,warm,very_light,Clear Spring
212,181,164,0,0,0,90,72,69,#d4b5a4,,#5a4845,I,warm,very_light,Light Spring
229,192,184,0,0,0,120,98,98,#e5c0b8,,#786262,I,neutral,very_light,Light Summer
211,169,134,0,0,0,84,72,64,#d3a986,,#544840,II,warm,light,Clear Spring
192,155,148,0,0,0,97,87,95,#c09b94,,#61575f,I,neutral,light,Light Summer
242,194,178,0,0,0,141,122,126,#f2c2b2,,#8d7a7e,I,neutral,very_light,Light Summer
185,147,131,0,0,0,71,57,55,#b99383,,#473937,II,warm,light_medium,Warm Spring
223,181,175,0,0,0,106,101,95,#dfb5af,,#6a655f,I,neutral,very_light,Light Summer
209,171,154,0,0,0,67,49,50,#d1ab9a,,#433132,I,warm,light,Warm Spring
197,160,138,0,0,0,103,85,65,#c5a08a,,#675541,II,warm,light,Warm Spring
182,169,164,0,0,0,62,70,81,#b6a9a4,,#3e4651,I,neutral,light,Light Spring
252,206,186,0,0,0,77,55,52,#fcceba,,#4d3734,I,warm,very_light,Warm Spring
228,190,192,0,0,0,67,74,111,#e4bec0,,#434a6f,I,cool,very_light,Light Summer
200,154,132,0,0,0,84,70,65,#c89a84,,#544641,II,warm,light,Clear Spring
218,186,175,0,0,0,131,120,126,#dabaaf,,#83787e,I,neutral,very_light,Light Spring
209,192,184,0,0,0,87,85,97,#d1c0b8,,#575561,I,neutral,very_light,Light Spring
206,184,188,0,0,0,106,93,105,#ceb8bc,,#6a5d69,I,cool,very_light,Light Summer
225,183,163,0,0,0,91,73,71,#e1b7a3,,#5b4947,I,warm,very_light,Warm Spring
220,159,141,0,0,0,108,84,83,#dc9f8d,,#6c5453,II,warm,light,Clear Spring
215,166,146,0,0,0,109,87,81,#d7a692,,#6d5751,II,warm,light,Clear Spring
227,133,82,0,0,0,102,48,28,#e38552,,#66301c,IV,warm,light_medium,Warm Autumn
198,131,111,0,0,0,93,68,64,#c6836f,,#5d4440,IV,warm,light_medium,Warm Autumn
226,201,195,0,0,0,89,85,94,#e2c9c3,,#59555e,I,neutral,very_light,Light Summer
221,174,154,0,0,0,128,122,124,#ddae9a,,#807a7c,I,warm,light,Clear Spring
225,180,164,0,0,0,111,94,94,#e1b4a4,,#6f5e5e,I,neutral,very_light,Light Spring
221,221,221,0,0,0,99,99,99,#dddddd,,#636363,I,neutral,very_light,Light Spring
164,110,89,0,0,0,75,53,46,#a46e59,,#4b352e,V,warm,medium,Deep Autumn
251,195,170,0,0,0,115,99,92,#fbc3aa,,#73635c,I,warm,very_light,Clear Spring
252,188,130,0,0,0,137,92,66,#fcbc82,,#895c42,III,warm,very_light,Clear Spring
228,186,169,0,0,0,89,73,69,#e4baa9,,#594945,I,warm,very_light,Warm Spring
240,226,222,0,0,0,108,111,123,#f0e2de,,#6c6f7b,I,neutral,very_light,Light Summer
214,162,144,0,0,0,87,67,74,#d6a290,,#57434a,II,warm,light,Clear Spring
244,213,188,0,0,0,110,91,71,#f4d5bc,,#6e5b47,I,warm,very_light,Warm Spring
253,200,134,0,0,0,116,71,41,#fdc886,,#744729,III,warm,very_light,Clear Spring
206,181,163,0,0,0,91,86,84,#ceb5a3,,#5b5654,I,warm,very_light,Light Spring
227,180,166,0,0,0,100,88,92,#e3b4a6,,#64585c,I,neutral,very_light,Light Summer
200,171,129,0,0,0,83,77,71,#c8ab81,,#534d47,III,warm,light,Clear Spring
211,179,166,0,0,0,84,70,73,#d3b3a6,,#544649,I,neutral,very_light,Light Spring
201,141,122,0,0,0,143,94,72,#c98d7a,,#8f5e48,III,warm,light_medium,Clear Spring
210,142,122,0,0,0,92,59,75,#d28e7a,,#5c3b4b,III,warm,light,Clear Spring
228,190,173,0,0,0,121,97,96,#e4bead,,#796160,I,warm,very_light,Warm Spring
184,119,97,0,0,0,99,70,62,#b87761,,#63463e,IV,warm,light_medium,Warm Autumn
200,145,120,0,0,0,83,58,67,#c89178,,#533a43,III,warm,light_medium,Warm Autumn
216,162,131,0,0,0,100,82,69,#d8a283,,#645245,II,warm,light,Clear Spring
248,205,188,0,0,0,111,99,95,#f8cdbc,,#6f635f,I,neutral,very_light,Light Spring
227,193,175,0,0,0,72,83,91,#e3c1af,,#48535b,I,warm,very_light,Warm Spring
190,137,114,0,0,0,78,59,51,#be8972,,#4e3b33,III,warm,light_medium,Warm Autumn
176,142,131,0,0,0,98,80,86,#b08e83,,#625056,II,neutral,light_medium,Light Summer
228,181,154,0,0,0,106,90,79,#e4b59a,,#6a5a4f,II,warm,very_light,Clear Spring
213,173,150,0,0,0,120,97,89,#d5ad96,,#786159,II,warm,light,Warm Spring
228,213,212,0,0,0,138,125,125,#e4d5d4,,#8a7d7d,I,neutral,very_light,Light Summer
211,179,170,0,0,0,102,85,78,#d3b3aa,,#66554e,I,neutral,very_light,Light Summer
228,177,138,0,0,0,112,93,78,#e4b18a,,#705d4e,II,warm,very_light,Clear Spring
221,182,152,0,0,0,107,86,75,#ddb698,,#6b564b,II,warm,very_light,Clear Spring
236,187,179,0,0,0,99,95,106,#ecbbb3,,#635f6a,I,neutral,very_light,Light Summer
223,174,160,0,0,0,96,95,100,#dfaea0,,#605f64,I,neutral,very_light,Light Summer
222,195,186,0,0,0,69,78,94,#dec3ba,,#454e5e,I,neutral,very_light,Light Summer
228,209,201,0,0,0,91,90,100,#e4d1c9,,#5b5a64,I,neutral,very_light,Light Spring
227,219,213,0,0,0,124,110,94,#e3dbd5,,#7c6e5e,I,neutral,very_light,Light Spring
224,174,157,0,0,0,124,103,97,#e0ae9d,,#7c6761,I,warm,very_light,Clear Spring
217,165,137,0,0,0,87,63,56,#d9a589,,#573f38,II,warm,light,Clear Spring
222,184,176,0,0,0,142,147,159,#deb8b0,,#8e939f,I,neutral,very_light,Light Summer
236,207,170,0,0,0,81,73,56,#eccfaa,,#514938,I,warm,very_light,Clear Spring
205,160,154,0,0,0,97,76,89,#cda09a,,#614c59,I,neutral,light,Light Summer
243,184,157,0,0,0,110,84,76,#f3b89d,,#6e544c,II,warm,very_light,Clear Spring
211,170,154,0,0,0,96,83,81,#d3aa9a,,#605351,I,neutral,light,Light Spring
178,146,134,0,0,0,101,85,81,#b29286,,#655551,II,neutral,light_medium,Light Spring
226,195,183,0,0,0,79,75,86,#e2c3b7,,#4f4b56,I,neutral,very_light,Light Spring
215,180,170,0,0,0,102,86,82,#d7b4aa,,#665652,I,neutral,very_light,Light Summer
247,228,214,0,0,0,113,98,98,#f7e4d6,,#716262,I,neutral,very_light,Light Spring
181,143,139,197,152,147,59,56,67,#b58f8b,#c59893,#3b3843,I,neutral,light_medium,Light Summer
225,206,182,0,0,0,96,115,114,#e1ceb6,,#607372,I,warm,very_light,Light Spring
197,145,133,0,0,0,79,81,87,#c59185,,#4f5157,II,neutral,light_medium,Light Summer
219,157,124,0,0,0,128,78,60,#db9d7c,,#804e3c,III,warm,light,Clear Spring
244,189,168,0,0,0,127,93,82,#f4bda8,,#7f5d52,I,warm,very_light,Clear Spring
216,165,132,0,0,0,98,76,69,#d8a584,,#624c45,II,warm,light,Clear Spring
219,175,145,0,0,0,111,88,76,#dbaf91,,#6f584c,II,warm,light,Clear Spring
222,192,186,0,0,0,86,94,112,#dec0ba,,#565e70,I,neutral,very_light,Light Summer
198,165,155,0,0,0,77,71,78,#c6a59b,,#4d474e,I,neutral,light,Light Summer
250,224,218,0,0,0,123,124,149,#fae0da,,#7b7c95,I,neutral,very_light,Light Summer
235,201,192,0,0,0,116,100,100,#ebc9c0,,#746464,I,neutral,very_light,Light Summer
232,217,211,0,0,0,105,94,99,#e8d9d3,,#695e63,I,neutral,very_light,Light Spring
209,166,140,0,0,0,104,95,92,#d1a68c,,#685f5c,II,warm,light,Clear Spring
236,193,170,0,0,0,115,99,98,#ecc1aa,,#736362,I,warm,very_light,Warm Spring
236,174,121,0,0,0,114,86,56,#ecae79,,#725638,III,warm,very_light,Clear Spring
220,183,168,0,0,0,127,98,88,#dcb7a8,,#7f6258,I,neutral,very_light,Light Spring
233,207,201,0,0,0,117,117,119,#e9cfc9,,#757577,I,neutral,very_light,Light Summer
202,158,137,0,0,0,69,64,76,#ca9e89,,#45404c,II,warm,light,Warm Spring
209,165,144,0,0,0,115,80,77,#d1a590,,#73504d,II,warm,light,Warm Spring
241,189,167,0,0,0,107,84,91,#f1bda7,,#6b545b,I,warm,very_light,Clear Spring
198,184,184,0,0,0,83,84,88,#c6b8b8,,#535458,I,neutral,very_light,Light Summer
230,191,182,0,0,0,107,97,104,#e6bfb6,,#6b6168,I,neutral,very_light,Light Summer
203,173,161,0,0,0,97,98,102,#cbada1,,#616266,I,neutral,light,Light Spring
163,111,86,0,0,0,80,63,53,#a36f56,,#503f35,V,warm,medium,Deep Autumn
181,125,85,0,0,0,57,43,39,#b57d55,,#392b27,IV,warm,light_medium,Deep Autumn
192,141,110,0,0,0,84,71,68,#c08d6e,,#544744,III,warm,light_medium,Warm Autumn
139,78,52,0,0,0,65,46,44,#8b4e34,,#412e2c,V,warm,medium_deep,Deep Autumn
193,125,89,0,0,0,94,62,49,#c17d59,,#5e3e31,IV,warm,light_medium,Warm Autumn
198,135,101,0,0,0,105,73,64,#c68765,,#694940,IV,warm,light_medium,Warm Autumn
185,154,134,0,0,0,61,56,55,#b99a86,,#3d3837,II,warm,light,Warm Spring
204,156,118,0,0,0,108,107,99,#cc9c76,,#6c6b63,III,warm,light,Warm Autumn
187,154,138,0,0,0,80,65,72,#bb9a8a,,#504148,II,warm,light,Warm Spring
177,96,62,0,0,0,97,71,74,#b1603e,,#61474a,V,warm,medium,Deep Autumn
200,138,108,0,0,0,91,73,70,#c88a6c,,#5b4946,IV,warm,light_medium,Warm Autumn
165,118,59,0,0,0,66,55,37,#a5763b,,#423725,V,warm,medium,Deep Autumn
244,198,160,0,0,0,102,81,67,#f4c6a0,,#665143,II,warm,very_light,Clear Spring
182,114,75,0,0,0,98,68,56,#b6724b,,#624438,V,warm,medium,Deep Autumn
209,174,152,0,0,0,73,64,57,#d1ae98,,#494039,I,warm,light,Warm Spring
165,149,145,0,0,0,148,131,126,#a59591,,#94837e,I,neutral,light_medium,Light Summer
230,189,148,0,0,0,124,83,64,#e6bd94,,#7c5340,II,warm,very_light,Clear Spring
219,158,136,0,0,0,109,77,68,#db9e88,,#6d4d44,II,warm,light,Clear Spring
241,207,193,0,0,0,87,57,50,#f1cfc1,,#573932,I,neutral,very_light,Light Spring
228,203,199,0,0,0,97,84,83,#e4cbc7,,#615453,I,neutral,very_light,Light Summer
237,201,192,0,0,0,123,93,96,#edc9c0,,#7b5d60,I,neutral,very_light,Light Summer
156,112,99,0,0,0,98,68,63,#9c7063,,#62443f,V,neutral,medium,Deep Winter
178,130,111,0,0,0,128,111,99,#b2826f,,#806f63,IV,warm,light_medium,Warm Autumn
218,173,153,0,0,0,124,83,68,#daad99,,#7c5344,I,warm,light,Warm Spring
215,179,163,0,0,0,95,64,57,#d7b3a3,,#5f4039,I,neutral,very_light,Light Spring
246,215,201,0,0,0,114,90,76,#f6d7c9,,#725a4c,I,neutral,very_light,Light Spring
228,147,104,0,0,0,94,67,61,#e49368,,#5e433d,IV,warm,light,Warm Autumn
236,202,199,0,0,0,145,123,122,#eccac7,,#917b7a,I,neutral,very_light,Light Summer
206,155,145,0,0,0,94,67,65,#ce9b91,,#5e4341,I,neutral,light,Light Summer
242,220,213,0,0,0,106,84,80,#f2dcd5,,#6a5450,I,neutral,very_light,Light Summer
145,114,107,0,0,0,66,59,60,#91726b,,#423b3c,V,neutral,medium,Deep Winter
196,160,144,0,0,0,99,69,60,#c4a090,,#63453c,II,warm,light,Warm Spring
237,213,201,0,0,0,92,72,67,#edd5c9,,#5c4843,I,neutral,very_light,Light Spring
228,178,148,0,0,0,107,83,76,#e4b294,,#6b534c,II,warm,very_light,Clear Spring
242,185,155,0,0,0,163,124,105,#f2b99b,,#a37c69,II,warm,very_light,Clear Spring
231,207,193,0,0,0,101,95,90,#e7cfc1,,#655f5a,I,neutral,very_light,Light Spring
232,202,196,0,0,0,152,122,120,#e8cac4,,#987a78,I,neutral,very_light,Light Summer
227,227,227,0,0,0,89,89,89,#e3e3e3,,#595959,I,neutral,very_light,Light Spring
239,196,179,0,0,0,146,133,127,#efc4b3,,#92857f,I,neutral,very_light,Light Spring
179,114,70,0,0,0,97,73,45,#b37246,,#61492d,V,warm,medium,Deep Autumn
239,177,129,0,0,0,105,79,72,#efb181,,#694f48,III,warm,very_light,Clear Spring
226,175,149,0,0,0,82,68,76,#e2af95,,#52444c,II,warm,very_light,Clear Spring
152,122,94,0,0,0,99,92,75,#987a5e,,#635c4b,V,warm,medium,Deep Autumn
152,123,100,0,0,0,70,56,50,#987b64,,#463832,IV,warm,medium,Deep Autumn
194,138,98,0,0,0,84,60,43,#c28a62,,#543c2b,IV,warm,light_medium,Warm Autumn
165,109,88,0,0,0,101,72,60,#a56d58,,#65483c,V,warm,medium,Deep Autumn
231,189,172,0,0,0,169,148,150,#e7bdac,,#a99496,I,warm,very_light,Warm Spring
214,166,159,0,0,0,129,117,121,#d6a69f,,#817579,I,neutral,light,Light Summer
214,182,162,0,0,0,114,94,94,#d6b6a2,,#725e5e,I,warm,very_light,Warm Spring
217,165,141,0,0,0,133,110,97,#d9a58d,,#856e61,II,warm,light,Clear Spring
166,116,85,0,0,0,66,51,48,#a67455,,#423330,V,warm,medium,Deep Autumn
219,162,140,0,0,0,125,97,89,#dba28c,,#7d6159,II,warm,light,Clear Spring
179,107,64,0,0,0,111,67,45,#b36b40,,#6f432d,V,warm,medium,Deep Autumn
219,152,118,214,153,115,110,63,45,#db9876,#d69973,#6e3f2d,III,warm,light,Warm Autumn
218,178,159,0,0,0,137,116,112,#dab29f,,#897470,I,warm,very_light,Warm Spring
204,172,157,0,0,0,85,75,73,#ccac9d,,#554b49,I,neutral,light,Light Spring
164,122,101,0,0,0,98,70,60,#a47a65,,#62463c,IV,warm,medium,Warm Autumn
214,172,145,0,0,0,101,88,78,#d6ac91,,#65584e,II,warm,light,Clear Spring
210,149,115,0,0,0,98,67,48,#d29573,,#624330,III,warm,light,Warm Autumn
216,178,161,0,0,0,118,97,92,#d8b2a1,,#76615c,I,warm,very_light,Warm Spring
231,173,162,0,0,0,108,82,88,#e7ada2,,#6c5258,I,neutral,very_light,Light Summer
214,157,138,0,0,0,100,70,64,#d69d8a,,#644640,II,warm,light,Clear Spring
206,179,176,0,0,0,118,101,111,#ceb3b0,,#76656f,I,neutral,very_light,Light Summer
233,190,167,229,187,164,115,82,72,#e9bea7,#e5bba4,#735248,I,warm,very_light,Warm Spring
239,208,186,0,0,0,130,110,93,#efd0ba,,#826e5d,I,warm,very_light,Warm Spring
243,205,190,0,0,0,140,98,81,#f3cdbe,,#8c6251,I,neutral,very_light,Light Spring
200,167,156,0,0,0,105,92,84,#c8a79c,,#695c54,I,neutral,light,Light Summer
199,170,162,0,0,0,92,76,64,#c7aaa2,,#5c4c40,I,neutral,light,Light Summer
240,189,168,0,0,0,134,83,62,#f0bda8,,#86533e,I,warm,very_light,Clear Spring
246,215,202,0,0,0,125,112,108,#f6d7ca,,#7d706c,I,neutral,very_light,Light Spring
199,141,120,0,0,0,100,77,69,#c78d78,,#644d45,III,warm,light_medium,Warm Autumn
209,172,167,0,0,0,101,84,83,#d1aca7,,#655453,I,neutral,light,Light Summer
231,198,198,0,0,0,117,92,93,#e7c6c6,,#755c5d,I,neutral,very_light,Light Summer
213,156,135,0,0,0,119,106,95,#d59c87,,#776a5f,II,warm,light,Clear Spring
210,159,146,0,0,0,157,112,105,#d29f92,,#9d7069,II,neutral,light,Light Summer
214,184,171,0,0,0,115,91,82,#d6b8ab,,#735b52,I,neutral,very_light,Light Spring
227,193,167,0,0,0,132,115,100,#e3c1a7,,#847364,I,warm,very_light,Warm Spring
238,195,159,0,0,0,104,82,70,#eec39f,,#685246,II,warm,very_light,Clear Spring
228,195,181,0,0,0,125,103,97,#e4c3b5,,#7d6761,I,neutral,very_light,Light Spring
204,173,163,0,0,0,99,80,72,#ccada3,,#635048,I,neutral,light,Light Summer
239,218,198,0,0,0,108,91,82,#efdac6,,#6c5b52,I,warm,very_light,Light Spring
236,182,167,0,0,0,103,72,73,#ecb6a7,,#674849,I,neutral,very_light,Light Summer
219,188,184,0,0,0,125,99,102,#dbbcb8,,#7d6366,I,neutral,very_light,Light Summer
222,196,186,0,0,0,88,80,76,#dec4ba,,#58504c,I,neutral,very_light,Light Spring
240,198,179,0,0,0,119,91,87,#f0c6b3,,#775b57,I,warm,very_light,Warm Spring
217,172,137,0,0,0,93,83,76,#d9ac89,,#5d534c,II,warm,light,Clear Spring
146,113,96,0,0,0,78,60,54,#927160,,#4e3c36,V,warm,medium,Deep Autumn
206,165,145,0,0,0,115,98,98,#cea591,,#736262,II,warm,light,Warm Spring
180,117,105,0,0,0,94,70,59,#b47569,,#5e463b,IV,neutral,light_medium,Soft Summer
189,129,109,0,0,0,89,57,46,#bd816d,,#59392e,IV,warm,light_medium,Warm Autumn
215,181,159,0,0,0,71,64,58,#d7b59f,,#47403a,I,warm,very_light,Warm Spring
239,204,181,0,0,0,97,71,60,#efccb5,,#61473c,I,warm,very_light,Warm Spring
249,214,198,0,0,0,112,87,84,#f9d6c6,,#705754,I,neutral,very_light,Light Spring
186,130,104,0,0,0,70,48,32,#ba8268,,#463020,IV,warm,light_medium,Warm Autumn
237,206,192,0,0,0,92,76,75,#edcec0,,#5c4c4b,I,neutral,very_light,Light Spring
204,136,109,0,0,0,151,93,70,#cc886d,,#975d46,IV,warm,light_medium,Warm Autumn
214,185,166,0,0,0,73,61,62,#d6b9a6,,#493d3e,I,warm,very_light,Light Spring
204,157,127,0,0,0,112,91,78,#cc9d7f,,#705b4e,III,warm,light,Clear Spring
191,129,103,0,0,0,108,79,65,#bf8167,,#6c4f41,IV,warm,light_medium,Warm Autumn
224,185,159,0,0,0,108,98,89,#e0b99f,,#6c6259,I,warm,very_light,Warm Spring
226,198,167,0,0,0,99,71,53,#e2c6a7,,#634735,I,warm,very_light,Warm Spring
237,195,160,0,0,0,108,78,63,#edc3a0,,#6c4e3f,II,warm,very_light,Clear Spring
237,211,201,0,0,0,102,76,70,#edd3c9,,#664c46,I,neutral,very_light,Light Spring
188,162,149,0,0,0,96,87,86,#bca295,,#605756,I,neutral,light,Light Spring
225,185,156,0,0,0,99,70,60,#e1b99c,,#63463c,II,warm,very_light,Clear Spring
226,197,194,0,0,0,110,100,102,#e2c5c2,,#6e6466,I,neutral,very_light,Light Summer
238,213,204,0,0,0,112,96,97,#eed5cc,,#706061,I,neutral,very_light,Light Spring
192,144,118,0,0,0,114,88,74,#c09076,,#72584a,III,warm,light_medium,Warm Autumn
185,141,135,0,0,0,108,85,89,#b98d87,,#6c5559,II,neutral,light_medium,Light Summer
250,200,187,0,0,0,110,88,97,#fac8bb,,#6e5861,I,neutral,very_light,Light Summer
230,213,199,0,0,0,105,84,73,#e6d5c7,,#695449,I,neutral,very_light,Light Spring
214,183,174,0,0,0,135,115,105,#d6b7ae,,#877369,I,neutral,very_light,Light Summer
227,193,188,0,0,0,92,79,85,#e3c1bc,,#5c4f55,I,neutral,very_light,Light Summer
186,122,88,0,0,0,89,58,36,#ba7a58,,#593a24,IV,warm,light_medium,Deep Autumn
171,129,109,0,0,0,75,53,45,#ab816d,,#4b352d,IV,warm,light_medium,Warm Autumn
213,158,126,0,0,0,89,62,52,#d59e7e,,#593e34,III,warm,light,Clear Spring
211,173,155,0,0,0,122,95,87,#d3ad9b,,#7a5f57,I,warm,light,Warm Spring
194,163,152,0,0,0,105,87,81,#c2a398,,#695751,I,neutral,light,Light Spring
217,184,177,0,0,0,81,67,74,#d9b8b1,,#51434a,I,neutral,very_light,Light Summer
231,173,161,0,0,0,102,80,86,#e7ada1,,#665056,I,neutral,very_light,Light Summer
189,157,144,0,0,0,100,79,79,#bd9d90,,#644f4f,I,neutral,light,Light Spring
229,198,183,0,0,0,113,88,79,#e5c6b7,,#71584f,I,neutral,very_light,Light Spring
192,142,121,0,0,0,79,57,52,#c08e79,,#4f3934,III,warm,light_medium,Clear Spring
240,202,192,0,0,0,119,95,90,#f0cac0,,#775f5a,I,neutral,very_light,Light Summer
229,198,183,0,0,0,113,88,79,#e5c6b7,,#71584f,I,neutral,very_light,Light Spring
200,161,158,0,0,0,78,57,60,#c8a19e,,#4e393c,I,neutral,light,Light Summer
230,188,166,0,0,0,108,95,94,#e6bca6,,#6c5f5e,I,warm,very_light,Warm Spring
231,196,185,0,0,0,83,58,53,#e7c4b9,,#533a35,I,neutral,very_light,Light Summer
229,193,176,0,0,0,105,76,68,#e5c1b0,,#694c44,I,warm,very_light,Warm Spring
206,174,156,0,0,0,101,74,62,#ceae9c,,#654a3e,I,warm,light,Warm Spring
187,126,101,0,0,0,108,84,78,#bb7e65,,#6c544e,IV,warm,light_medium,Warm Autumn
203,173,163,0,0,0,89,68,60,#cbada3,,#59443c,I,neutral,light,Light Summer
207,171,160,0,0,0,104,81,87,#cfaba0,,#685157,I,neutral,light,Light Summer
233,186,167,0,0,0,110,84,88,#e9baa7,,#6e5458,I,warm,very_light,Warm Spring
198,172,159,224,178,72,99,99,96,#c6ac9f,#e0b248,#636360,I,neutral,light,Light Spring
219,177,161,0,0,0,114,90,85,#dbb1a1,,#725a55,I,neutral,very_light,Light Spring
212,170,167,0,0,0,88,71,69,#d4aaa7,,#584745,I,neutral,light,Light Summer
244,191,162,0,0,0,151,110,97,#f4bfa2,,#976e61,I,warm,very_light,Clear Spring
182,153,130,0,0,0,114,111,110,#b69982,,#726f6e,II,warm,light,Warm Spring
210,182,167,0,0,0,148,126,122,#d2b6a7,,#947e7a,I,neutral,very_light,Light Spring
239,207,213,0,0,0,123,103,124,#efcfd5,,#7b677c,I,cool,very_light,Light Summer
239,197,184,0,0,0,122,92,96,#efc5b8,,#7a5c60,I,neutral,very_light,Light Summer
236,199,206,0,0,0,107,87,110,#ecc7ce,,#6b576e,I,cool,very_light,Light Summer
217,175,155,0,0,0,123,105,107,#d9af9b,,#7b696b,I,warm,light,Warm Spring
219,165,142,0,0,0,135,111,99,#dba58e,,#876f63,II,warm,light,Clear Spring
164,126,107,0,0,0,114,102,91,#a47e6b,,#72665b,IV,warm,light_medium,Warm Autumn
164,123,98,0,0,0,114,93,80,#a47b62,,#725d50,IV,warm,light_medium,Deep Autumn
83,56,43,0,0,0,56,37,31,#53382b,,#38251f,VI,warm,deep,Deep Autumn
213,196,173,0,0,0,143,129,129,#d5c4ad,,#8f8181,I,warm,very_light,Light Spring
226,207,200,0,0,0,102,92,91,#e2cfc8,,#665c5b,I,neutral,very_light,Light Spring
206,166,153,0,0,0,112,91,88,#cea699,,#705b58,I,neutral,light,Light Summer
238,175,176,0,0,0,120,76,82,#eeafb0,,#784c52,I,cool,very_light,Cool Summer
226,168,139,0,0,0,95,75,70,#e2a88b,,#5f4b46,II,warm,light,Clear Spring
148,113,94,0,0,0,77,57,51,#94715e,,#4d3933,V,warm,medium,Deep Autumn
223,181,158,0,0,0,114,76,60,#dfb59e,,#724c3c,I,warm,very_light,Warm Spring
224,179,156,0,0,0,153,122,111,#e0b39c,,#997a6f,I,warm,very_light,Clear Spring
214,177,177,0,0,0,98,78,81,#d6b1b1,,#624e51,I,neutral,very_light,Light Summer
127,78,37,0,0,0,77,49,24,#7f4e25,,#4d3118,V,warm,medium_deep,Deep Autumn
238,202,187,0,0,0,134,107,98,#eecabb,,#866b62,I,neutral,very_light,Light Spring
200,170,150,0,0,0,109,93,86,#c8aa96,,#6d5d56,I,warm,light,Warm Spring
182,138,115,0,0,0,74,56,41,#b68a73,,#4a3829,III,warm,light_medium,Warm Autumn
178,113,88,0,0,0,114,72,62,#b27158,,#72483e,V,warm,medium,Deep Autumn
208,157,148,0,0,0,114,83,79,#d09d94,,#72534f,I,neutral,light,Light Summer
233,181,160,0,0,0,139,114,106,#e9b5a0,,#8b726a,I,warm,very_light,Clear Spring
226,191,175,0,0,0,146,122,113,#e2bfaf,,#927a71,I,neutral,very_light,Light Spring
215,177,154,0,0,0,141,112,95,#d7b19a,,#8d705f,I,warm,light,Warm Spring
151,102,90,0,0,0,109,82,75,#97665a,,#6d524b,V,neutral,medium,Deep Winter
220,169,146,0,0,0,107,84,85,#dca992,,#6b5455,II,warm,light,Clear Spring
211,182,182,0,0,0,99,82,88,#d3b6b6,,#635258,I,neutral,very_light,Light Summer
225,166,148,0,0,0,134,98,84,#e1a694,,#866254,II,warm,light,Clear Spring
192,128,122,0,0,0,76,63,68,#c0807a,,#4c3f44,III,neutral,light_medium,Light Summer
230,158,124,0,0,0,116,89,77,#e69e7c,,#74594d,III,warm,light,Clear Spring
205,135,96,0,0,0,96,68,52,#cd8760,,#604434,IV,warm,light_medium,Warm Autumn
